5.100 , 3.500 , 0 
4.900 , 3.000 , 0 
4.700 , 3.200 , 0 
4.600 , 3.100 , 0 
5.000 , 3.600 , 0 
5.400 , 3.900 , 0 
4.600 , 3.400 , 0 
5.000 , 3.400 , 0 
4.400 , 2.900 , 0 
4.900 , 3.100 , 0 
5.400 , 3.700 , 0 
4.800 , 3.400 , 0 
4.800 , 3.000 , 0 
4.300 , 3.000 , 0 
5.800 , 4.000 , 0 
5.700 , 4.400 , 0 
5.400 , 3.900 , 0 
5.100 , 3.500 , 0 
5.700 , 3.800 , 0 
5.100 , 3.800 , 0 
5.400 , 3.400 , 0 
5.100 , 3.700 , 0 
4.600 , 3.600 , 0 
5.100 , 3.300 , 0 
4.800 , 3.400 , 0 
5.000 , 3.000 , 0 
5.000 , 3.400 , 0 
5.200 , 3.500 , 0 
5.200 , 3.400 , 0 
4.700 , 3.200 , 0 
4.800 , 3.100 , 0 
5.400 , 3.400 , 0 
5.200 , 4.100 , 0 
5.500 , 4.200 , 0 
4.900 , 3.100 , 0 
5.000 , 3.200 , 0 
5.500 , 3.500 , 0 
4.900 , 3.100 , 0 
4.400 , 3.000 , 0 
5.100 , 3.400 , 0 
5.000 , 3.500 , 0 
4.500 , 2.300 , 0 
4.400 , 3.200 , 0 
5.000 , 3.500 , 0 
5.100 , 3.800 , 0 
4.800 , 3.000 , 0 
5.100 , 3.800 , 0 
4.600 , 3.200 , 0 
5.300 , 3.700 , 0 
5.000 , 3.300 , 0 
7.000 , 3.200 , 0 
6.400 , 3.200 , 0 
6.900 , 3.100 , 0 
5.500 , 2.300 , 0 
6.500 , 2.800 , 0 
5.700 , 2.800 , 0 
6.300 , 3.300 , 0 
4.900 , 2.400 , 0 
6.600 , 2.900 , 0 
5.200 , 2.700 , 0 
5.000 , 2.000 , 0 
5.900 , 3.000 , 0 
6.000 , 2.200 , 0 
6.100 , 2.900 , 0 
5.600 , 2.900 , 0 
6.700 , 3.100 , 0 
5.600 , 3.000 , 0 
5.800 , 2.700 , 0 
6.200 , 2.200 , 0 
5.600 , 2.500 , 0 
5.900 , 3.200 , 0 
6.100 , 2.800 , 0 
6.300 , 2.500 , 0 
6.100 , 2.800 , 0 
6.400 , 2.900 , 0 
6.600 , 3.000 , 0 
6.800 , 2.800 , 0 
6.700 , 3.000 , 0 
6.000 , 2.900 , 0 
5.700 , 2.600 , 0 
5.500 , 2.400 , 0 
5.500 , 2.400 , 0 
5.800 , 2.700 , 0 
6.000 , 2.700 , 0 
5.400 , 3.000 , 0 
6.000 , 3.400 , 0 
6.700 , 3.100 , 0 
6.300 , 2.300 , 0 
5.600 , 3.000 , 0 
5.500 , 2.500 , 0 
5.500 , 2.600 , 0 
6.100 , 3.000 , 0 
5.800 , 2.600 , 0 
5.000 , 2.300 , 0 
5.600 , 2.700 , 0 
5.700 , 3.000 , 0 
5.700 , 2.900 , 0 
6.200 , 2.900 , 0 
5.100 , 2.500 , 0 
5.700 , 2.800 , 0 
6.300 , 3.300 , 0 
5.800 , 2.700 , 0 
7.100 , 3.000 , 0 
6.300 , 2.900 , 0 
6.500 , 3.000 , 0 
7.600 , 3.000 , 0 
4.900 , 2.500 , 0 
7.300 , 2.900 , 0 
6.700 , 2.500 , 0 
7.200 , 3.600 , 0 
6.500 , 3.200 , 0 
6.400 , 2.700 , 0 
6.800 , 3.000 , 0 
5.700 , 2.500 , 0 
5.800 , 2.800 , 0 
6.400 , 3.200 , 0 
6.500 , 3.000 , 0 
7.700 , 3.800 , 0 
7.700 , 2.600 , 0 
6.000 , 2.200 , 0 
6.900 , 3.200 , 0 
5.600 , 2.800 , 0 
7.700 , 2.800 , 0 
6.300 , 2.700 , 0 
6.700 , 3.300 , 0 
7.200 , 3.200 , 0 
6.200 , 2.800 , 0 
6.100 , 3.000 , 0 
6.400 , 2.800 , 0 
7.200 , 3.000 , 0 
7.400 , 2.800 , 0 
7.900 , 3.800 , 0 
6.400 , 2.800 , 0 
6.300 , 2.800 , 0 
6.100 , 2.600 , 0 
7.700 , 3.000 , 0 
6.300 , 3.400 , 0 
6.400 , 3.100 , 0 
6.000 , 3.000 , 0 
6.900 , 3.100 , 0 
6.700 , 3.100 , 0 
6.900 , 3.100 , 0 
5.800 , 2.700 , 0 
6.800 , 3.200 , 0 
6.700 , 3.300 , 0 
6.700 , 3.000 , 0 
6.300 , 2.500 , 0 
6.500 , 3.000 , 0 
6.200 , 3.400 , 0 
5.900 , 3.000 , 0 
